specialty,procedure_slug,procedure_name,image,width,height,sha256
fertility,embryo-transfer,Embryo Transfer,public/assets/img/final/procedure-embryo-transfer.webp,1400,933,c3cb69e49ce8f90ec66316bef5305204df859deadc23f9fdbc15259b2c4e2395
fertility,fertility-assessment,Fertility Assessment,public/assets/img/final/procedure-fertility-assessment.webp,1400,933,b4dea65b878ed98f92aa21247ec007292b941db5a54cbb8bd6184c5865144e78
fertility,fertility-related-hysteroscopy-surgery,Fertility-Related Hysteroscopy / Surgery,public/assets/img/final/procedure-fertility-related-hysteroscopy-surgery.webp,1400,933,fb09550f3b14a3e35b5793f5c73b919823b33e82ed8a60ca8e62bcd787a59ee0
fertility,frozen-embryo-transfer,Frozen Embryo Transfer,public/assets/img/final/procedure-frozen-embryo-transfer.webp,1400,933,0e3552615e108ca27a2d0236b7cabd3c82bd5234655c6c0e8b3a322081dfd863
fertility,in-vitro-fertilisation-ivf,In Vitro Fertilisation (IVF),public/assets/img/final/procedure-in-vitro-fertilisation-ivf.webp,1400,933,e4f415a4fcba89c163e10a98bb23882585b2beca315173df310f4440de464e6c
fertility,intracytoplasmic-sperm-injection-icsi,Intracytoplasmic Sperm Injection (ICSI),public/assets/img/final/procedure-intracytoplasmic-sperm-injection-icsi.webp,1400,933,7dcaa40e0600b4e885714628566568f3518031ac7e7f0b2857f0c9bb0697bae2
fertility,intrauterine-insemination-iui,Intrauterine Insemination (IUI),public/assets/img/final/procedure-intrauterine-insemination-iui.webp,1400,933,8ed4207dcb787b8ec1cb60c48fd539a4c29e92929ee929bf67e37ce286b81a05
fertility,ovulation-induction,Ovulation Induction,public/assets/img/final/procedure-ovulation-induction.webp,1400,933,34861c2d60614e8c5243017ad692bf128e4ac3ba7d928b5a30a05eb04bc39029
fertility,preimplantation-genetic-testing,Preimplantation Genetic Testing,public/assets/img/final/procedure-preimplantation-genetic-testing.webp,1400,933,b8ac5fe7489c96853c68654d089394f14b67d4f2c20f93a26a425946c8e74de6
general-surgery,anal-fissure-surgery,Anal Fissure Surgery,public/assets/img/final/procedure-anal-fissure-surgery.webp,1400,933,05ac142eb4a2377354be17de16c574994f6b69e2544ee263da80bf786a090c88
general-surgery,anal-fistula-surgery,Anal Fistula Surgery,public/assets/img/final/procedure-anal-fistula-surgery.webp,1400,933,d578ca9b6c09f26cb103d06c0073b1f8d978ca8762e1c31bb5de28be87ce30da
general-surgery,femoral-hernia-repair,Femoral Hernia Repair,public/assets/img/final/procedure-femoral-hernia-repair.webp,1400,933,30793a1e99b9f17dc458db58a2233f4cacb3fe87dc7bd00b4f6cbcbe29eab7a3
general-surgery,hemorrhoid-surgery,Hemorrhoid Surgery,public/assets/img/final/procedure-hemorrhoid-surgery.webp,1400,933,b35ebe80bd0466594ab6b07032190e12a8aad7bd6b65f2e4d049ac14021977ac
general-surgery,hiatal-hernia-repair,Hiatal Hernia Repair,public/assets/img/final/procedure-hiatal-hernia-repair.webp,1400,933,169fbd2744fec359ffde86729e33213e683f2efd90d3231c913f93b43e1bb8e4
general-surgery,inguinal-hernia-repair,Inguinal Hernia Repair,public/assets/img/final/procedure-inguinal-hernia-repair.webp,1400,933,b51123ddd98ec5796c3652fc82d18b94c899446ca708aeeca691dfb0c55181d6
general-surgery,laparoscopic-cholecystectomy,Laparoscopic Cholecystectomy,public/assets/img/final/procedure-laparoscopic-cholecystectomy.webp,1400,933,d3f59d5286cc8b87a3b99a5f3f520c676a67e0f8258190c5c3303e10b39a053c
general-surgery,pilonidal-sinus-surgery,Pilonidal Sinus Surgery,public/assets/img/final/procedure-pilonidal-sinus-surgery.webp,1400,933,bc85a9e445d3b110f08cf19fcb1f01cec90ff12dacfedf1850da48c4b46b87e3
general-surgery,umbilical-hernia-repair,Umbilical Hernia Repair,public/assets/img/final/procedure-umbilical-hernia-repair.webp,1400,933,c6cd0ef65d95e222a7e5e4e0411e5f9d1af037dfee20cf656f89086e3082d066
general-surgery,ventral-incisional-hernia-repair,Ventral / Incisional Hernia Repair,public/assets/img/final/procedure-ventral-incisional-hernia-repair.webp,1400,933,7ed6cc029e5393b52fcfccbbcd646004a6120ad4cc4cae954d9b247ab796ca90
hair-restoration,beard-transplant,Beard Transplant,public/assets/img/final/procedure-beard-transplant.webp,1400,933,5c514cf463ccaf3a3329974ce31dc86e9acb3cbfea6e6e0d99cc7891014a25a4
hair-restoration,dhi-hair-transplant,DHI Hair Transplant,public/assets/img/final/procedure-dhi-hair-transplant.webp,1400,933,8e45ea0c3fa3d84303849293b703afe04a7140e44be03102dbebaa27cf95f3cc
hair-restoration,eyebrow-transplant,Eyebrow Transplant,public/assets/img/final/procedure-eyebrow-transplant.webp,1400,933,aac2221dc74f03e7629121a5f9825040e7da1151f8e45fa3f1b87e8567052bd2
hair-restoration,female-hair-transplant,Female Hair Transplant,public/assets/img/final/procedure-female-hair-transplant.webp,1400,933,3b4b90e65ed9b0897c6946d66cfb93766fa37a882539f6bdb741bf4ad2a23515
hair-restoration,fue-hair-transplant,FUE Hair Transplant,public/assets/img/final/procedure-fue-hair-transplant.webp,1400,933,28c5bab47ef1bfc967d25f8e39bc31498a94208ae2551f9adb8dfd2b0a868668
hair-restoration,fut-hair-transplant,FUT Hair Transplant,public/assets/img/final/procedure-fut-hair-transplant.webp,1400,933,dd7e2934050ee068114ff75da17251850fd3d2e256221444497bb2dc9f297ab4
hair-restoration,hair-transplant-repair-correction,Hair Transplant Repair / Correction,public/assets/img/final/procedure-hair-transplant-repair-correction.webp,1400,933,71ff5112d0d0bd33885ffb873ee948b8b465a6fbf8476ecbf989b3030d1ceb96
hair-restoration,sapphire-fue,Sapphire FUE,public/assets/img/final/procedure-sapphire-fue.webp,1400,933,9d4de470dfefd61cbf7c082f594d7b1af77ff2e3a926df13feeddae2902f419f
hair-restoration,scar-hair-transplant,Scar Hair Transplant,public/assets/img/final/procedure-scar-hair-transplant.webp,1400,933,033c0079f2aedb7652b4df63ca1f1ecc421947ff9b38236f86a95a303f615c87
hair-restoration,unshaven-fue,Unshaven FUE,public/assets/img/final/procedure-unshaven-fue.webp,1400,933,406eb9610531ac17c4d6fedf618c6a3ad168035783e30545ee2d5651e04652b1
orthopedics,acl-reconstruction,ACL Reconstruction,public/assets/img/final/procedure-acl-reconstruction.webp,1400,933,66bc7ea14b70fd3678251bf8807a79ce8adcd51e443af1946d140234b5d9b3fe
